Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,6.7,8.1,10.8,15.5,18.2,25.8,29.4,30.2,42.6,75.5,53.8,73.5,72.8,85.9
1708218,Zomin tumani,Зааминский район,Zomin district,15.8,23.5,27.8,46.9,42.7,52.6,61.3,64.2,85.6,131.7,248.8,343.2,292.9,330.7
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,6.8,11.5,14.3,19.0,23.2,29.0,28.8,44.4,47.1,89.7,124.8,137.3,111.9,114.0
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,4.5,6.7,10.2,10.4,12.6,14.0,17.8,27.5,38.8,46.4,61.3,75.9,67.9,61.8
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,2.2,3.7,4.9,9.2,11.1,15.6,18.8,14.9,24.9,162.7,87.9,56.6,46.3,58.4
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,10.4,15.8,17.0,20.5,33.4,44.3,54.8,61.9,91.6,116.6,201.0,162.8,188.2,184.5
1708235,Forish tumani,Фаришский район,Farish district,9.7,13.5,17.9,22.4,28.3,37.6,43.4,48.0,67.3,95.4,87.9,136.6,150.3,177.1
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,2.7,10.0,8.6,12.3,14.9,21.0,20.6,24.1,25.7,69.8,37.7,48.8,35.4,18.6
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,699.2,791.5,997.9,1168.2,1560.0,2067.5,2560.0,2759.1,3701.1,4365.3,4832.6,6336.6,7793.8,9490.9
1710401,Qarshi  shahri,Город Карши,Karshi city,189.4,210.3,286.5,225.0,462.1,322.4,411.1,770.6,1075.0,1121.4,1358.6,1728.1,2278.3,3317.5
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3,178.7,252.4,291.4,352.7,338.8,475.9
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.5,59.7
1710207,G‘uzor tumani,Гузарский район,Gissar district,89.2,64.0,77.2,68.6,74.9,240.6,220.9,134.3,177.5,383.9,365.9,494.3,772.8,955.2
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,19.1,28.6,35.2,63.7,51.7,96.1,86.6,66.0,93.5,116.9,140.2,138.1,157.5,179.9
1710220,Qamashi tumani,Камашинский район,Kamashi district,23.6,35.0,40.7,69.5,75.6,82.1,87.4,71.0,75.8,102.2,152.2,224.1,224.9,212.3
1710224,Qarshi tumani,Каршинский район,Karshi district,54.4,63.0,75.5,101.5,130.4,108.6,173.7,232.0,350.0,376.4,341.6,458.9,553.1,675.4
1710229,Koson tumani,Касанский район,Kasan district,55.1,50.1,58.1,74.6,103.3,238.5,299.7,331.5,428.0,488.3,405.8,433.3,426.5,486.3
1710232,Kitob tumani,Китабский район,Kitab district,37.2,48.7,60.6,69.7,102.6,134.8,355.9,186.7,225.3,280.6,295.0,439.7,371.8,367.0
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,18.6,25.4,31.2,58.0,51.2,88.3,98.2,61.4,92.3,109.8,174.3,182.7,168.5,164.7
1710234,Muborak tumani,Мубарекский район,Mubarek district,45.9,54.2,64.3,87.3,111.8,119.4,138.1,173.0,175.4,192.5,179.6,341.6,703.9,768.8
1710235,Nishon tumani,Нишанский  район,Nishon district,24.4,31.2,38.2,61.3,64.1,210.6,115.1,54.1,68.0,144.4,197.4,210.6,164.5,197.2
1710237,Kasbi tumani,Касбинский район,Kasbi district,23.5,34.5,45.2,62.9,57.5,90.7,113.3,105.0,137.3,125.8,175.7,230.8,292.9,237.6
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,26.6,40.2,48.2,74.1,72.1,114.0,155.1,212.3,272.3,295.7,359.1,570.0,636.3,753.2
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,55.9,58.9,75.5,78.2,111.7,111.8,157.9,163.1,103.5,117.5,132.0,198.3,246.0,284.5
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,36.3,47.4,61.5,73.7,91.0,109.7,147.0,142.8,248.5,257.5,263.8,333.4,355.4,355.7
1712,Navoiy viloyati,Навоийская область,Navoi region,418.9,575.0,653.8,746.0,891.7,1019.2,1153.1,1313.5,2280.8,3464.0,3944.7,5155.5,5855.0,6744.1
1712401,Navoiy shahri,Город Навои,Navoi city,84.9,118.8,140.3,170.9,193.5,247.2,274.8,291.6,513.5,812.0,1020.2,1251.6,1033.4,1345.1
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,158.6,148.7,127.1,114.6,146.8,159.8,155.3,181.6,577.8,803.0,784.8,930.2,521.4,836.6
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,32.5,34.9
1712211,Konimex tumani,Канимехский  район,Kanimekh district,7.3,24.2,12.8,14.9,35.8,19.0,18.4,22.4,29.7,50.6,63.4,91.8,190.2,170.1
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,53.6,74.9,97.0,107.1,135.4,171.1,176.5,248.5,349.5,516.4,576.3,816.2,1286.5,1103.8000000000002
1712230,Navbahor tumani,Навбахорский район,Navbahor district,20.0,40.9,50.9,59.0,87.8,101.2,149.0,110.9,139.9,281.3,303.5,406.2,485.5,610.9
1712234,Karmana tumani,Карманинский район,Karmana district,44.4,82.8,111.4,120.8,124.6,142.2,169.8,172.3,290.4,436.7,413.6,567.9,615.0,687.3
1712238,Nurota tumani,Нуратинский район,Nurota district,26.9,34.0,43.9,49.0,42.0,56.8,60.6,94.6,121.9,169.9,236.0,385.2,696.2,860.4
1712244,Tomdi tumani,Тамдынский район,Tomdy district,2.5,2.4,3.6,2.3,3.1,3.7,3.4,2.2,8.1,25.6,22.7,69.9,231.4,286.1
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,4.6,9.5,15.9,21.2,19.1,17.9,21.0,18.8,35.6,42.2,54.4,77.6,132.2,171.3
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,16.1,38.8,50.9,86.2,103.6,100.3,124.3,170.6,214.4,326.3,469.8,557.4,630.7,637.6
1714,Namangan viloyati,Наманганская область,Namangan region,347.9,475.9,548.9,730.9,890.4,1010.4,1289.9,1475.2,2257.6,3471.0,4678.2,5556.7,6653.2,7342.2
1714401,Namangan shahri,Город Наманган,Namangan city,84.1,112.9,126.2,154.8,171.6,184.3,246.0,292.4,520.4,873.1,1411.4,1529.8,1782.8,2383.4
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,12.2,17.0,20.9,24.6,36.9,42.0,49.2,46.1,93.0,158.6,134.7,260.9,263.4,285.5
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,23.6,27.5,35.5,55.7,75.7,89.9,102.4,122.0,196.8,359.8,386.4,470.7,514.7,554.1
1714212,Namangan tumani,Наманганский район,Namangan district,34.9,42.0,46.9,62.9,89.1,123.7,132.1,175.5,197.1,270.7,372.6,442.1,447.7,444.9
1714216,Norin tumani,Нарынский район,Naryn district,14.9,21.6,26.1,34.2,48.9,57.2,68.5,65.4,93.3,142.7,224.9,216.9,271.1,340.6
1714219,Pop tumani,Папский район,Pop district,28.5,40.7,46.9,60.1,65.5,72.9,103.8,106.1,181.3,252.8,364.4,385.3,554.6,379.1
